,filename,transcription,filepath
656,tem_06359_01322560543,అడుగున స్త్రీ పుష్పములు,end_to_end\tem_06359_01322560543.wav
657,tem_08680_01850029958,కాని ఐరావంతుడు ఒక షరతు పెడతాడు,end_to_end\tem_08680_01850029958.wav
658,tem_02769_01005302819,ఆ విధంగా నాటకం సాగుతుంది,end_to_end\tem_02769_01005302819.wav
659,tem_05479_01200006914,రైలు వేగం గంటకు సరాసరిన ముప్పై నాలుగు కిలో మీటర్లు\n,end_to_end\tem_05479_01200006914.wav
660,tem_06359_01762296397,దీని రచయిత త్రిపురనేని గోపీచంద్,end_to_end\tem_06359_01762296397.wav
661,tem_04272_02098662135,ఈ వంశము తెలుగు వారిని పరిపాలించిన తొలి ముస్లిం వంశము,end_to_end\tem_04272_02098662135.wav
662,tem_06359_00311405191,లిటిల్ ఐస్ ఏజ్ బిగ్ చిల్లీ,end_to_end\tem_06359_00311405191.wav
663,tem_07220_01751692052,ఈమె వెయ్యి తొమ్మిది వందలు ఎనభై రెండులో రాయటం మొదలు పెట్టారు,end_to_end\tem_07220_01751692052.wav
664,tem_06359_01492195660,ఒక్కో గుండానికి ఒక్కో ప్రత్యేకత ఉంది,end_to_end\tem_06359_01492195660.wav
665,tem_08680_00873432594,అనగా మన దేశానికి హిందీ అధికార భాష\n,end_to_end\tem_08680_00873432594.wav
666,tem_04771_00363473464,ఆగ్నేయం వైపుగా,end_to_end\tem_04771_00363473464.wav
667,tem_09222_00190804119,ప్రముఖ తెలుగు సినీ దర్శకుడు సత్యనారాయణ,end_to_end\tem_09222_00190804119.wav
668,tem_09015_00999671506,వారి లోకం వేరు,end_to_end\tem_09015_00999671506.wav
669,tem_03338_02146080967,లిండా డౌవెర్ వెయ్యి తొమ్మిది వందలు డెబ్బై ఎనిమిది,end_to_end\tem_03338_02146080967.wav
670,tem_00682_00484726720,తాడేపల్లి పేరుతో ఒకటి కంటే ఎక్కువ పేజీలున్నందువలన ఈ పేజీ అవసరమైంది,end_to_end\tem_00682_00484726720.wav
671,tem_04771_00123751583,తూర్పు వైపుగా,end_to_end\tem_04771_00123751583.wav
672,tem_03338_01313179947,పిన్ కోడ్ అయిదు లక్షల తొమ్మిది వేలు రెండు వందల రెండు,end_to_end\tem_03338_01313179947.wav
673,tem_03338_00842008357,ఇష్టంలేకున్నా పర్షియన్ భాష చదివారు,end_to_end\tem_03338_00842008357.wav
674,tem_06359_00163489559,తోటివారిలో ఉన్న మంచిని మాత్రమే చూడు,end_to_end\tem_06359_00163489559.wav
675,tem_00682_01457717964,ఈ సినిమాకు ప్రధాన కథానాయకుడు చిరంజీవి,end_to_end\tem_00682_01457717964.wav
676,tem_05425_01904949404,ఈ పార్కు మధ్యప్రదేశ్ ‌లో కూడా విస్తరించింది,end_to_end\tem_05425_01904949404.wav
677,tem_00974_00481725593,అప్పుడి జిల్లా కేంద్రగా అమరావతి ఉండేది,end_to_end\tem_00974_00481725593.wav
678,tem_03338_00380806867,దొంగోనికి అందరు దొంగల్లాగా,end_to_end\tem_03338_00380806867.wav
679,tem_05479_01772486387,పురుషుల కన్నా స్త్రీల శాతం ఎక్కువ\n,end_to_end\tem_05479_01772486387.wav
680,tem_08680_00464808157,కుశధ్వజుడు ఇతని సోదరుడు\n,end_to_end\tem_08680_00464808157.wav
681,tem_00682_00965256499,వాటి లింకుల కోసం ఘంటసాల అయోమయ నివృత్తి చూడండి,end_to_end\tem_00682_00965256499.wav
682,tem_00974_00743114769,నెమ్మదిగా కమర్షియల్ రంగం మొదలయింది,end_to_end\tem_00974_00743114769.wav
683,tem_02769_00324658233,అన్న పదం సామాన్య శిక్షా గుర్తు,end_to_end\tem_02769_00324658233.wav
684,tem_06359_02119141554,ఈ పరిమాణ నామాలకు అర్థం ఉంది,end_to_end\tem_06359_02119141554.wav
685,tem_08680_00165659186,లాగిన్‌ అయిన తరువాత ఎన్నో ప్రయోగాలు చేసుకోవచ్చు\n,end_to_end\tem_08680_00165659186.wav
686,tem_08680_02127138813,పిన్ కోడ్ అయిదు లక్షల పదునయిదు వేల అయిదు వందల ఒక్క\n,end_to_end\tem_08680_02127138813.wav
687,tem_05425_00102930140,మన ఊరి పాండవులు ఒక మంచి తెలుగు సినిమా,end_to_end\tem_05425_00102930140.wav
688,tem_04272_00500727906,పంచాయత్ రాజ్ మంత్రిత్వ శాఖ వెబ్‌సైటులో విజయనగరం జిల్లా తాలూకాల వివరాలు,end_to_end\tem_04272_00500727906.wav
689,tem_06917_00595811650,ఉదాహరణకు చిత్తూరు అయోమయ నివృత్తి పేజీలో ఇచ్చిన లింకులు చూడండి,end_to_end\tem_06917_00595811650.wav
690,tem_06359_02009749203,మేషలగ్నస్థ గ్రహ ఫలితాలను క్రింద చూడవచ్చు,end_to_end\tem_06359_02009749203.wav
691,tem_09015_00866634317,శ్రీ కాశీ విశ్వేశ్వరస్వామివారి ఆలయం,end_to_end\tem_09015_00866634317.wav
692,tem_03338_01876865696,సంగ్రహించిన తేదీ పదకొండు రెండు వేలు పధ్నాలుగు,end_to_end\tem_03338_01876865696.wav
693,tem_09525_01184998451,ఇక్కడ మంచి నీటి వసతి ఉన్నది\n,end_to_end\tem_09525_01184998451.wav
694,tem_00682_01718569839,అప్పుడు ప్రభుత్వం ఏర్పాటు చెయ్యడానికి పార్టీ మద్దతు కాంగ్రెసుకు అవసరమైంది,end_to_end\tem_00682_01718569839.wav
695,tem_04771_01058243192,మీ గమ్యస్థానం కుడివైపున ఉంది.,end_to_end\tem_04771_01058243192.wav
696,tem_00682_00653031845,ఊరిలో ప్రభుత్వ ప్రాథమిక పాఠశాల ఉన్నది,end_to_end\tem_00682_00653031845.wav
697,tem_02812_01370582687,విశాఖపట్నం ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని విశాఖపట్నం జిల్లాకు చెందిన ఒక మండలము,end_to_end\tem_02812_01370582687.wav
698,tem_00682_02078141428,ఈయన ఎక్కువగా ఫ్రెంచి లోనూ లాటిన్ లోనూ రచనలు చేశాడు,end_to_end\tem_00682_02078141428.wav
699,tem_03338_00940255137,ఆ తరువాత ముస్లిమేతరులందరిపై విధించేవారు,end_to_end\tem_03338_00940255137.wav
700,tem_08680_01947761790,మిరియాల తీగె వేరుమూలమున నెగబ్రాకుచున్నది\n,end_to_end\tem_08680_01947761790.wav
701,tem_05425_00390715648,పని కాకపోతే మళ్ళీ ఇక్కడకు రండి,end_to_end\tem_05425_00390715648.wav
702,tem_08377_00770313144,సరస్వతి నిలయంగా పేరు గాంచింది\n,end_to_end\tem_08377_00770313144.wav
703,tem_09015_00294931347,వాళ్లతో నాది మంచి అనుబంధం ఉండేది,end_to_end\tem_09015_00294931347.wav
704,tem_08680_01646370590,నేలలో పొడుగుగా దుంపలు ఊరుతాయి,end_to_end\tem_08680_01646370590.wav
705,tem_08680_02084836980,పిన్ కోడ్ అయిదు వందల ముప్పై నాలుగు రెండు వందల నలభై అయిదు,end_to_end\tem_08680_02084836980.wav
706,tem_02812_00515787304,ఈనడానికి పదునయిదు నుండి ముప్పై నిమిషములు పడుతుంది,end_to_end\tem_02812_00515787304.wav
707,tem_06359_00321945647,అఖరివాడుగా శ్రినివాసుడు జన్మించాడట,end_to_end\tem_06359_00321945647.wav
708,tem_07220_01265705348,దానికి ముందు ఒక విభిన్నమైన విధానం ఉండేది,end_to_end\tem_07220_01265705348.wav
709,tem_00974_01727589254,ఈ ఊరి పక్కన ఒక గుట్ట కలదు,end_to_end\tem_00974_01727589254.wav
710,tem_03338_01283337737,ఆమె జూలై పదహారు రెండు వేల తొమ్మిది న సహజంగా మరణించింది,end_to_end\tem_03338_01283337737.wav
711,tem_04771_00888734852,"వలయాకార కూడలిలో, ఒకటవ నిష్క్రమణ నుండి వెళ్ళండి",end_to_end\tem_04771_00888734852.wav
712,tem_00682_02039846740,సంగీతం గురించి ఎన్నో వ్యాసాలు కూడా వ్రాశాడు,end_to_end\tem_00682_02039846740.wav
713,tem_04771_01116881389,", అప్పుడు",end_to_end\tem_04771_01116881389.wav
714,tem_00974_02130347265,ఈయనకు ఇద్దరు కుమారులు,end_to_end\tem_00974_02130347265.wav
715,tem_09015_00219390927,శివరాత్రి నాడు ఆయన ప్రజలకు దర్శనమిస్తారు,end_to_end\tem_09015_00219390927.wav
716,tem_00682_00494174253,డిసెంబరు వెయ్యి తొమ్మిది వందలు తొంభై తొమ్మిది లో గృహప్రవేశం చేశారు,end_to_end\tem_00682_00494174253.wav
717,tem_00974_01536842740,ఊరంతా ఈ కోలా హలంలో మునిగి పోతారు,end_to_end\tem_00974_01536842740.wav
718,tem_02769_00784175202,అందుకు బలమైన ఉదాహరణ ఈడిపస్ నాటకం,end_to_end\tem_02769_00784175202.wav
719,tem_05479_01769689069,గృహాల సంఖ్య రెండు వందల డెబ్బై,end_to_end\tem_05479_01769689069.wav
720,tem_04771_02046130681,ముప్పావు మైలులో,end_to_end\tem_04771_02046130681.wav
721,tem_09015_02133696059,మిరియాల తీగె వేరుమూలమున నెగబ్రాకుచున్నది,end_to_end\tem_09015_02133696059.wav
722,tem_09222_01214558089,కింద ఇచ్చిన జాబితాలో మీ సభ్యనామం రాయండి,end_to_end\tem_09222_01214558089.wav
723,tem_04771_01732999170,మూడు మైళ్లలో,end_to_end\tem_04771_01732999170.wav
724,tem_04272_00585694886,రఘుపతి వెంకయ్య తన కుమారుడు సినిమా నిర్మాణం నేర్చుకోవడానికి విదేశాలు పంపాడు,end_to_end\tem_04272_00585694886.wav
725,tem_09525_01438225376,అల్లు అర్జున్ మొదటి చిత్రం కె\n,end_to_end\tem_09525_01438225376.wav
726,tem_02812_01183211050,ఎరుకల వాడు ప్రశ్న చెబుతడు,end_to_end\tem_02812_01183211050.wav
727,tem_02812_01967776592,దాంతో అతను ఆమెను మరింతగా వెంబడించాడు,end_to_end\tem_02812_01967776592.wav
728,tem_04771_00177436924,నూట యాభై గజాలలో,end_to_end\tem_04771_00177436924.wav
729,tem_06582_00679993909,అమ్మవారి పేరు మాణిక్యాంబ దేవి,end_to_end\tem_06582_00679993909.wav
730,tem_00974_00161119560,వారికి నాలుగు పిల్లలు,end_to_end\tem_00974_00161119560.wav
731,tem_00974_01267862504,ఈ సందర్భంలో ఒక కథ చెప్తాను,end_to_end\tem_00974_01267862504.wav
732,tem_04272_00062216947,వ్యాసం పేరులో విశ్వనాథ అని ఉండాలి,end_to_end\tem_04272_00062216947.wav
733,tem_09015_00010584547,వీటిలో పగలు కూడ జరిగే ఘట్టాలు మూడు,end_to_end\tem_09015_00010584547.wav
734,tem_09222_02094612080,ప్రస్తుతం ఆ ప్రదేశంలో ఒక స్తంభం మాత్రం ఉంది\n,end_to_end\tem_09222_02094612080.wav
735,tem_09015_00073684379,శంకరమంచి తెలుగు వారిలో కొందరి ఇంటి పేరు,end_to_end\tem_09015_00073684379.wav
736,tem_06917_01481300036,నమస్కారం మా ఊరి పేరు వికీలో లేదు,end_to_end\tem_06917_01481300036.wav
737,tem_00113_01096797282,అన్యాయాన్ని సహించే వారు గాదు,end_to_end\tem_00113_01096797282.wav
738,tem_02812_00843516342,పార్శ్వనొప్పికి మూలకారణాలు కావు,end_to_end\tem_02812_00843516342.wav
739,tem_04272_01150835350,కానీ దానిని అసలు పేజీలోనే చేర్చవచ్చు,end_to_end\tem_04272_01150835350.wav
740,tem_02769_00881577131,అయినా జయాపజయాలు దైవాధీనాలు కదా,end_to_end\tem_02769_00881577131.wav
741,tem_07220_01306218095,ప్రభావతి తన కోరికను చెప్పింది,end_to_end\tem_07220_01306218095.wav
742,tem_06917_00350919312,నేను పని చేసే ప్రదేశంలో ఈ ప్రాంతాలకు చెందిన వారు చాలామంది ఉన్నారు,end_to_end\tem_06917_00350919312.wav
743,tem_04272_00887911673,ఈ వ్యాసం ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని జిల్లా గురించి,end_to_end\tem_04272_00887911673.wav
744,tem_02769_01894366538,జిల్లా పరిషత్తు ఉన్నత పాఠశాల,end_to_end\tem_02769_01894366538.wav
745,tem_00682_00379835637,వూరిలో ఒక రైల్వే స్టేషన్ ఉంది,end_to_end\tem_00682_00379835637.wav
746,tem_00974_00202292263,దీని ఇంధన సామర్థ్యం సుమారు ఎనభై రెండు గ్యాలన్లు,end_to_end\tem_00974_00202292263.wav
747,tem_09015_00400205862,గత ఆరు మాసాలలో ఇదే అత్యధిక పెర్గుదల రేటు,end_to_end\tem_09015_00400205862.wav
748,tem_09015_01485993597,ఒక్కో వర్గంలో పన్నెండు తెగలవారు వస్తారు,end_to_end\tem_09015_01485993597.wav
749,tem_04771_01487682810,నిష్క్రమించండి,end_to_end\tem_04771_01487682810.wav
750,tem_06582_01278233577,గ్రామ దేవతలకు నైవేద్యాలు అర్పిస్తారు,end_to_end\tem_06582_01278233577.wav
751,tem_09015_01372313826,దూరంలో వున్న పల్లెటూరు తోటపల్లి,end_to_end\tem_09015_01372313826.wav
752,tem_00682_02111552825,శీతాకాలంలో హిమపాతం అధికంగా ఉంటుంది,end_to_end\tem_00682_02111552825.wav
753,tem_00682_01118007483,కళాశాల కూడా నడుస్తున్నాయి,end_to_end\tem_00682_01118007483.wav
754,tem_02812_00917994513,సరస్వతి నిలయంగా పేరు గాంచింది,end_to_end\tem_02812_00917994513.wav
755,tem_00974_01564945070,ఈమె మాజీ దక్షిణ భారత నటి,end_to_end\tem_00974_01564945070.wav
756,tem_05425_01507528162,ఈ గ్రామము సినీ దర్శకుడు సంగీత దర్శకుడు అయిన ఎస్.వి.కృష్ణారెడ్డి యొక్క స్వస్థలము,end_to_end\tem_05425_01507528162.wav
757,tem_02812_00399877627,ఈ గ్రామంలో తొమ్మిది గుట్టలు ఉన్నాయి,end_to_end\tem_02812_00399877627.wav
758,tem_00682_01173489513,టంగుటూరి ప్రకాశం పంతులు పేజీ ఇప్పటికే ఉంది,end_to_end\tem_00682_01173489513.wav
759,tem_04771_01252294154,మూడు వందల గజాలలో,end_to_end\tem_04771_01252294154.wav
760,tem_09222_01071512019,కనుక అతడిని రక్షించుకోవడం నా కర్తవ్యం\n,end_to_end\tem_09222_01071512019.wav
761,tem_00682_00914815687,భాష మాత్రం సమకాలీనంగా మార్చబడింది,end_to_end\tem_00682_00914815687.wav
762,tem_09584_02047229027,ఇవి ఐదు వర్గములుగా విభజింపబడినవి,end_to_end\tem_09584_02047229027.wav
763,tem_07220_00090235748,అవి తగు మోతాదులో ఉండాలి,end_to_end\tem_07220_00090235748.wav
764,tem_03338_00589772807,వీటి అడుగు భాగం సమతలంగా ఉండేది,end_to_end\tem_03338_00589772807.wav
765,tem_02812_01311027928,ఆమె ప్రసన్నురాలై యొక వ్యాకరణము నిచ్చెను,end_to_end\tem_02812_01311027928.wav
766,tem_08680_01508988667,మరికొన్ని సంబంధిత వ్యాసాల కొరకు కడప అయోమయ నివృత్తి చూడండి,end_to_end\tem_08680_01508988667.wav
767,tem_00974_02062798415,స్పర్శ నాడులు,end_to_end\tem_00974_02062798415.wav
768,tem_09015_00035284435,అరణి గారి మహా భారతం,end_to_end\tem_09015_00035284435.wav
769,tem_09015_01072956393,ఇక వెళదామని చెప్పిన వరదప్ప పంతులు,end_to_end\tem_09015_01072956393.wav
770,tem_00974_00154406680,ఇది ఇక్కడ అసేధ బలం,end_to_end\tem_00974_00154406680.wav
771,tem_09015_01578238128,అది ఒక పెద్ద సంబరంగా భావిస్తారు,end_to_end\tem_09015_01578238128.wav
772,tem_00682_00721148881,ఆత్మ పేరుతో కొన్ని సినిమాలకు దర్శకత్వం వహించాడు,end_to_end\tem_00682_00721148881.wav
773,tem_04272_01254452994,ఈ రాష్ట్రంలోని ముఖ్యమైన నదులు గోదావరి కృష్ణ,end_to_end\tem_04272_01254452994.wav
774,tem_06359_01436852128,పదవులు కోరని పావన మూర్తీ,end_to_end\tem_06359_01436852128.wav
775,tem_02769_01945873266,చదువు అయిదువ తరగతి,end_to_end\tem_02769_01945873266.wav
776,tem_06582_00623296647,తెలుగు సాహిత్యం లో ఎన్నో మార్పులు వచ్చాయి,end_to_end\tem_06582_00623296647.wav
777,tem_02769_00438931063,ఈ పురస్కారం క్రింద వీరికి రు,end_to_end\tem_02769_00438931063.wav
778,tem_06359_00446110210,చెర్ల అనేది జలసూచి,end_to_end\tem_06359_00446110210.wav
779,tem_00113_01933484532,ఈ నవలామాలికలోని నవలలు మొత్తం పన్నెండు,end_to_end\tem_00113_01933484532.wav
780,tem_06885_01482070454,లిండా డౌవెర్ వెయ్యి తొమ్మిది వందలు డెబ్బై ఎనిమిది,end_to_end\tem_06885_01482070454.wav
781,tem_09584_01358102467,దిక్కులకు అధిపతులను నిర్ణయించడం,end_to_end\tem_09584_01358102467.wav
782,tem_09015_00072532718,వట్టి గింజలనుండి నూనె రాదు,end_to_end\tem_09015_00072532718.wav
783,tem_07220_00373861470,ఆయన ప్రసిద్ధ మానవతా వాది మరియు సామ్యవాది,end_to_end\tem_07220_00373861470.wav
784,tem_04272_00463886373,వేమూరి గారు చెప్పింది బాగానే ఉంది,end_to_end\tem_04272_00463886373.wav
785,tem_04272_00294732180,నవల పేరు తులసి దళం అనుకొంటాను,end_to_end\tem_04272_00294732180.wav
786,tem_04272_00219677106,ఆ సందర్భంలో మీ సభ్యనామం స్థానంలో అడ్రసు కనిపిస్తుంది,end_to_end\tem_04272_00219677106.wav
787,tem_04272_01329125778,దూరంలో యానాం వెళ్ళు మార్గంలో ఉంది,end_to_end\tem_04272_01329125778.wav
788,tem_02812_01443970722,పేదల పక్షాన ఉచితంగా వాదించేవారు,end_to_end\tem_02812_01443970722.wav
789,tem_00682_00520512236,ఇదే పేరుతో ఉన్న ఇతర ప్రాంతాల కొరకు వాంకిడి అయోమయ నివృత్తి పేజి చూడండి,end_to_end\tem_00682_00520512236.wav
790,tem_06359_00246666049,అలా అవ్వడం వల్ల అది ఫ్లేసిడ్ అవుతుంది,end_to_end\tem_06359_00246666049.wav
791,tem_03338_01375629143,దాంతో గుచ్చి రక్తాన్ని తీయవచ్చు,end_to_end\tem_03338_01375629143.wav
792,tem_00682_01424521767,వ్యాసం పేరు ఇది ఇలా కనిపిస్తుంది వ్యాసం పేరు,end_to_end\tem_00682_01424521767.wav
793,tem_02769_00877244652,ఇక్కడ ఖనిజాలు తక్కువగా ఉంటాయి,end_to_end\tem_02769_00877244652.wav
794,tem_00682_01012819104,చంపాటి చెంపాటి; ఇరవై ఏడు,end_to_end\tem_00682_01012819104.wav
795,tem_06885_01411821402,ఈ సినిమాల జాబితా పెట్టింది నేనే,end_to_end\tem_06885_01411821402.wav
796,tem_04771_01086596294,రౌండ్అబౌట్‌లో ప్రవేశించండి,end_to_end\tem_04771_01086596294.wav
797,tem_00682_00903121711,ఒకవేళ ఆ విభాగాన్ని తరువాత తొలగించి ఉంటే ఆ పేజీకి వెళ్తుంది,end_to_end\tem_00682_00903121711.wav
798,tem_03338_00139862221,పదాలు వరుసగా ఉంటాయి,end_to_end\tem_03338_00139862221.wav
799,tem_02769_00022749327,వీటిలో అనేకం తీవ్రమైన వ్యతిరేకతను చూపాయి,end_to_end\tem_02769_00022749327.wav
800,tem_05425_01577155887,అప్పుడు మరింత ఖచ్చితమైన ఫలితాలు వస్తాయి,end_to_end\tem_05425_01577155887.wav
801,tem_04272_00924403854,ఈ గ్రామం చుట్టూ ఉన్న పలు గ్రామాలకు కూడలి,end_to_end\tem_04272_00924403854.wav
802,tem_08680_01799478541,ముఖ్యంగా నాటకాలమీద ఆయనకు ఎక్కువ మక్కువ,end_to_end\tem_08680_01799478541.wav
803,tem_05479_00027892908,దీనిని ఆఫ్రికా లో ఆహార పంటగా పండిస్తారు\n,end_to_end\tem_05479_00027892908.wav
804,tem_09584_01493047937,ఇప్పుడు రోజులు మారాయి,end_to_end\tem_09584_01493047937.wav
805,tem_06885_00220365692,దగ్గరలో రాజమండ్రి రైలుస్టేషన్ ఉంది,end_to_end\tem_06885_00220365692.wav
806,tem_02769_01437581668,నాకు ఇద్దరు కూతుళ్ళున్నారు,end_to_end\tem_02769_01437581668.wav
807,tem_00682_00920318666,లూనావాడ పట్టణం జిల్లాకేంద్రంగా ఉంది,end_to_end\tem_00682_00920318666.wav
808,tem_00974_00076895759,వారి పోకడ వేరు,end_to_end\tem_00974_00076895759.wav
809,tem_08680_00142010865,గృహస్థు రెండు బలులు విధిగా చెయ్యాలి\n,end_to_end\tem_08680_00142010865.wav
810,tem_02769_00717590148,సంఘ లక్ష్యాలను కూడా విస్తరించింది,end_to_end\tem_02769_00717590148.wav
811,tem_04771_00191167376,రాంప్‌లో కుడివైపుకు తిరగండి,end_to_end\tem_04771_00191167376.wav
812,tem_03338_00093930925,సంగ్రహించిన తేదీ ఇరవై రెండు రెండు వేల పధ్నాలుగు,end_to_end\tem_03338_00093930925.wav
813,tem_02769_00228275171,ఇతను ఆర్డిబర్మన్ గా ప్రసిద్దుడు,end_to_end\tem_02769_00228275171.wav
814,tem_05479_00171615100,ఊరి ప్రముఖుల వలన ఊరిలో అన్ని వసతులు ఏర్పడ్డాయి\n,end_to_end\tem_05479_00171615100.wav
815,tem_00682_01062409580,దీనిని పాకిస్తాన్ హ్రదయం అనికూడా అంటారు,end_to_end\tem_00682_01062409580.wav
816,tem_02812_02008416311,ఇది కుటుంబానికి చెందిన చిన్న చోటు,end_to_end\tem_02812_02008416311.wav
817,tem_06359_02014228350,వీలుకాక ఆమె మీద పుకార్లు సృష్టిస్తారు,end_to_end\tem_06359_02014228350.wav
818,tem_00113_00294763463,దీంతో జీవవైవిధ్యం దెబ్బతింటోంది,end_to_end\tem_00113_00294763463.wav
819,tem_02812_01671339868,కెసీ మీడియా ప్రధాన ఆకర్షణగా మారారు,end_to_end\tem_02812_01671339868.wav
820,tem_08377_00926922268,అతని కుమార్తెను దొంగలు అపహరిస్తారు\n,end_to_end\tem_08377_00926922268.wav
821,tem_07220_01861941781,రైలు వేగం గంటకు సరాసరిన ముప్పై నాలుగు కిలో మీటర్లు,end_to_end\tem_07220_01861941781.wav
822,tem_09525_00529591926,ఈ లింకు లో ఈ గ్రామ పంచాయితీ లేదు,end_to_end\tem_09525_00529591926.wav
823,tem_02769_02027606409,వాతావరణ పరీక్షలు భూవాతావణంలో చేపడతారు,end_to_end\tem_02769_02027606409.wav
824,tem_05479_01779168825,ఇతర పెరుగుల కంటే దీనికి వగరు తక్కువ\n,end_to_end\tem_05479_01779168825.wav
825,tem_08680_00932025856,అభద్రత పోవాలంటె ఆలంబనం ఉండాలి\n,end_to_end\tem_08680_00932025856.wav
826,tem_03338_00149013602,వీరిలో పురుషుల శాతం యాభై ఒకటి% స్త్రీల శాతం నలభై తొమ్మిది%,end_to_end\tem_03338_00149013602.wav
827,tem_02812_00621272874,మౌనం ఆరోగ్య వృద్ధికి తోడ్పడుతుంది,end_to_end\tem_02812_00621272874.wav
828,tem_06359_00030226768,ఆకులు గుండ్రముగా ఐదు తమ్మెలేర్పడియుండును,end_to_end\tem_06359_00030226768.wav
829,tem_00974_01277093049,ఇది భారత సైన్యం యొక్క యుద్ధపతాకం కూడా,end_to_end\tem_00974_01277093049.wav
830,tem_04771_01472659080,ఒకటిన్నర మైళ్లలో,end_to_end\tem_04771_01472659080.wav
831,tem_04272_00236156351,ప్రధాన నీటి వనరు నాగార్జున సాగర్ ఎడమ కాలువ,end_to_end\tem_04272_00236156351.wav
832,tem_02477_00493874209,అవి అనువాదాలు కావచ్చును లేదా క్రొత్త వ్యాసాలు కావచ్చును,end_to_end\tem_02477_00493874209.wav
833,tem_03338_00695892399,ఇది సర్వసాధారణ వర్ణాంధత్వ రూపం,end_to_end\tem_03338_00695892399.wav
834,tem_05479_00582630580,ఈ గ్రామమునకు గుంటూరు మంగళగిరి మరియు అమరావతి నుండి బస్సు సౌకర్యం కలదు,end_to_end\tem_05479_00582630580.wav
835,tem_02769_01789419976,ఏడాది పొడవునా భక్తులు ఇక్కడకు వస్తుంటారు,end_to_end\tem_02769_01789419976.wav
836,tem_05479_00217072161,అంపైర్లే పాయింట్లను నిర్ణయిస్తారు\n,end_to_end\tem_05479_00217072161.wav
837,tem_08680_00228784228,ది ద్యబ్బుక్,end_to_end\tem_08680_00228784228.wav
838,tem_06359_00145287886,అధ్యక్షుడు దేశానికి నాయకత్వం వహిస్తాడు,end_to_end\tem_06359_00145287886.wav
839,tem_02769_00347864408,కింద వున్న దీపం కదలదు,end_to_end\tem_02769_00347864408.wav
840,tem_04771_02024410132,ఎనిమిది వందల అడుగుల్లో,end_to_end\tem_04771_02024410132.wav
841,tem_06885_00580338292,విజయవాడ గ్రామీణ మండలం లోని గ్రామం,end_to_end\tem_06885_00580338292.wav
842,tem_02812_01571025928,ఒకదశాబ్దము చేసిన నిరంతరకృషి ఫలము,end_to_end\tem_02812_01571025928.wav
843,tem_09015_01859746838,అతని కుమార్తెను దొంగలు అపహరిస్తారు,end_to_end\tem_09015_01859746838.wav
844,tem_00974_00669564483,మార్చి నెలలో గింజలు తయారవుతాయి,end_to_end\tem_00974_00669564483.wav
845,tem_08680_01516125255,మీ కృషికి నా ప్రత్యేక అభినందనలు\n,end_to_end\tem_08680_01516125255.wav
846,tem_06359_00117348107,పిన్ కోడ్ అయిదు లక్షలు మూడు వేల రెండు వందలు ఇరవై నాలుగు,end_to_end\tem_06359_00117348107.wav
847,tem_03338_01891338756,మీరు చిల్లర తిసుకెళ్ళడం మరిచిపొవద్దు,end_to_end\tem_03338_01891338756.wav
848,tem_02812_02125059435,ప్రారంభ రోమన్ సైన్యం,end_to_end\tem_02812_02125059435.wav
849,tem_08680_00069062253,కొంతమంది ప్రజలు ఉర్దూ కూడా మాట్లాడుతారు\n,end_to_end\tem_08680_00069062253.wav
850,tem_07220_01084549329,దీన్ని భోజనంతో కలిపి తింటారు,end_to_end\tem_07220_01084549329.wav
851,tem_03338_01531940052,తాటి పండ్లను తినుట ద్విజులకాచరము గాదు,end_to_end\tem_03338_01531940052.wav
852,tem_02812_00055061068,దీని వెనుక శాస్త్రీయాంశము కూడా కలదు,end_to_end\tem_02812_00055061068.wav
853,tem_03338_01167760523,ఈమె తాత దీర్ఘతముడు అనే మహర్షి,end_to_end\tem_03338_01167760523.wav
854,tem_06359_01069224930,దగ్గరలో రాజమండ్రి రైలుస్టేషన్ ఉంది,end_to_end\tem_06359_01069224930.wav
855,tem_00682_00089305295,ఇందులో తమన్నా కథానాయిక,end_to_end\tem_00682_00089305295.wav
856,tem_02812_00563028564,ప్రస్తుతం పురావస్థుశాఖ పరిశీలనలో ఉన్నది,end_to_end\tem_02812_00563028564.wav
857,tem_09222_01938830935,ఈ పేజీ ప్రయోగశాల లో ఓ శీర్షిక పెట్టి చూడండి\n,end_to_end\tem_09222_01938830935.wav
858,tem_06582_02042657877,స్వర్గం ఇక్కడే వుంటుంది,end_to_end\tem_06582_02042657877.wav
859,tem_05425_01734259328,అధికంగా భారతీయ కుటుంబాలు నివసించే ప్రాంతం కూడా ఇదే,end_to_end\tem_05425_01734259328.wav
860,tem_07220_00395599248,ఆ సినిమా బాగా ఆడలేదు,end_to_end\tem_07220_00395599248.wav
861,tem_06359_01868991001,ఈ ఊరికి ఒక ఆసక్తి దాయకమైన కథ ఉంది,end_to_end\tem_06359_01868991001.wav
862,tem_00113_01204130110,కాని అప్పటికే సమయం మించి పోయింది,end_to_end\tem_00113_01204130110.wav
863,tem_06359_00482328338,ఆ తన్మయత్వంలో తన బాధల్ని మరిచిపోతాడు,end_to_end\tem_06359_00482328338.wav
864,tem_00974_00329425113,దీని అధిపతి రామ్ గోపాల్ వర్మ,end_to_end\tem_00974_00329425113.wav
865,tem_03338_01413809259,ఈత ఒంటికి మంచి వ్యాయామాన్నిస్తుంది,end_to_end\tem_03338_01413809259.wav
